mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	e.i{								e	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	3	1	ii%2								e	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
1	1	3/4	3/4	4/4	3	1	v6								e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	0	0	4/4	3	1	iv6(2)								e	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
2	2	1/4	1/4	4/4	3	1	iv6								e	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	1/2	1/2	4/4	3	1	V(64)								e	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
2	2	3/4	3/4	4/4	3	1	III.viio/IV								e	III		viio/IV	vii	o			IV			o	1	0	4, 1, -2		4	4
3	3	0	0	4/4	3	1	IVM65								e	III		IVM65	IV	M	65					MM7	1	0	3, 0, 4, -1		-1	3
3	3	1/4	1/4	4/4	3	1	viio								e	III		viio	vii	o						o	1	0	5, 2, -1		5	5
3	3	1/2	1/2	4/4	3	1	I(9)								e	III		I(9)	I			9				M	1	0	0, 4, 1	2	0	0
3	3	3/4	3/4	4/4	3	1	I								e	III		I	I							M	1	0	0, 4, 1		0	0
4	4	0	0	4/4	3	1	V(4)								e	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
4	4	1/4	1/4	4/4	3	1	#viio/vi								e	III		#viio/vi	#vii	o			vi			o	1	0	8, 5, 2		8	8
4	4	1/2	1/2	4/4	3	1	i(9)/vi								e	III		i(9)/vi	i			9	vi			m	1	0	3, 0, 4	5	3	3
4	4	3/4	3/4	4/4	3	1	i/vi								e	III		i/vi	i				vi			m	1	0	3, 0, 4		3	3
5	5	0	0	4/4	3	1	v.V2								e	v		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	1/4	1/4	4/4	3	1	i								e	v		i	i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	3	1	V(64)								e	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	5	3/4	3/4	4/4	3	1	V								e	v		V	V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	3	1	VI|DC}								e	v		VI	VI					DC	}	M	1	1	-4, 0, -3		-4	-4
6	6	1/4	1/4	4/4	3	1	iv6{								e	v		iv6	iv		6				{	m	1	1	-4, 0, -1		-1	-4
6	6	1/2	1/2	4/4	3	1	i(4)								e	v		i(4)	i			4				m	1	1	0, -1, 1		0	0
6	6	3/4	3/4	4/4	3	1	i								e	v		i	i							m	1	1	0, -3, 1		0	0
7	7	0	0	4/4	3	1	iv.V7		170	0	0	255	/	#aa0000	e	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	0	0	4/4	3	1	iv.V65		0	85	0	255	/	#005500	e	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	1/4	1/4	4/4	3	1	i								e	iv		i	i							m	1	1	0, -3, 1		0	0
7	7	1/2	1/2	4/4	3	1	ii%2								e	iv		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
7	7	3/4	3/4	4/4	3	1	#viio								e	iv		#viio	#vii	o						o	1	1	5, 2, -1		5	5
8	8	0	0	4/4	3	1	i(9)								e	iv		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
8	8	1/4	1/4	4/4	3	1	i6								e	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	1/2	1/2	4/4	3	1	V(4)								e	iv		V(4)	V			4				M	1	1	1, 0, 2		1	1
8	8	3/4	3/4	4/4	3	1	v								e	iv		v	v							m	1	1	1, -2, 2		1	1
9	9	0	0	4/4	3	1	VI.IVM65								e	VI		IVM65	IV	M	65					MM7	1	0	3, 0, 4, -1		-1	3
9	9	1/4	1/4	4/4	3	1	viio								e	VI		viio	vii	o						o	1	0	5, 2, -1		5	5
9	9	1/2	1/2	4/4	3	1	I(9)								e	VI		I(9)	I			9				M	1	0	0, 4, 1	2	0	0
9	9	3/4	3/4	4/4	3	1	I6								e	VI		I6	I		6					M	1	0	4, 1, 0		0	4
10	10	0	0	4/4	3	1	IV								e	VI		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	10	1/4	1/4	4/4	3	1	I6								e	VI		I6	I		6					M	1	0	4, 1, 0		0	4
10	10	1/2	1/2	4/4	3	1	V(64)								e	VI		V(64)	V			64				M	1	0	1, 0, 4		1	1
10	10	3/4	3/4	4/4	3	1	#viio/vi								e	VI		#viio/vi	#vii	o			vi			o	1	0	8, 5, 2		8	8
11	11	0	0	4/4	3	1	vi(9)								e	VI		vi(9)	vi			9				m	1	0	3, 0, 4	5	3	3
11	11	1/4	1/4	4/4	3	1	vi								e	VI		vi	vi							m	1	0	3, 0, 4		3	3
11	11	1/2	1/2	4/4	3	1	i.V65								e	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	11	3/4	3/4	4/4	3	1	i								e	i		i	i							m	1	1	0, -3, 1		0	0
12	12	0	0	4/4	3	1	iio6	#viio43	170	0	0	255	/	#aa0000	e	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
12	12	0	0	4/4	3	1	#viio43		0	85	0	255	/	#005500	e	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
12	12	1/4	1/4	4/4	3	1	viio7/V								e	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
12	12	1/2	1/2	4/4	3	1	V(64)								e	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
12	12	3/4	3/4	4/4	3	1	V								e	i		V	V							M	1	1	1, 5, 2		1	1
13	13	0	0	4/4	3	1	i|PAC}{								e	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
13	13	1/2	1/2	4/4	3	1	v6								e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
14	14	0	0	4/4	3	1	iv6								e	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	1/2	1/2	4/4	3	1	V|HC}								e	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
