mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	3	12/8	3/2	0	firstMeasure					2
2	2	3	12/8	3/2	0						3
3	3	3	12/8	3/2	0						4
4	4	3	12/8	3/2	0						5
5	5	3	12/8	3/2	0						6
6	6	3	12/8	3/2	0						7
7	7	3	12/8	3/2	0						8
8	8	3	12/8	3/2	0						9
9	9	3	12/8	3/2	0						10
10	10	3	12/8	3/2	0						11
11	11	3	12/8	3/2	0						12
12	12	3	12/8	3/2	0						13
13	13	3	12/8	3/2	0						14
14	14	3	12/8	3/2	0	endRepeat					1, 15
15	15	3	12/8	3/2	0	startRepeat					16
16	16	3	12/8	3/2	0						17
17	17	3	12/8	3/2	0						18
18	18	3	12/8	3/2	0						19
19	19	3	12/8	3/2	0						20
20	20	3	12/8	3/2	0						21
21	21	3	12/8	3/2	0						22
22	22	3	12/8	3/2	0						23
23	23	3	12/8	3/2	0						24
24	24	3	12/8	3/2	0						25
25	25	3	12/8	3/2	0						26
26	26	3	12/8	3/2	0						27
27	27	3	12/8	3/2	0						28
28	28	3	12/8	3/2	0						29
29	29	3	12/8	3/2	0						30
30	30	3	12/8	3/2	0	endRepeat		end-repeat			15, -1
